C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res3_w1_tunable_l75_param.son DE_EMBEDDED Lk=8.5 l=75.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res3_w1_tunable_l75_param
8.5175,-0.425375
8.52,-0.426989
8.5225,-0.428611
8.525,-0.430242
8.5275,-0.431882
8.53,-0.43353
8.5325,-0.435187
8.535,-0.436853
8.5375,-0.438528
8.54,-0.440211
8.5425,-0.441904
8.545,-0.443606
8.5475,-0.445316
8.55,-0.447036
8.5525,-0.448765
8.555,-0.450504
8.5575,-0.452252
8.56,-0.454009
8.5625,-0.455776
8.565,-0.457552
8.5675,-0.459338
8.57,-0.461133
8.5725,-0.462939
8.575,-0.464754
8.5775,-0.466579
8.58,-0.468414
8.5825,-0.470259
8.585,-0.472114
8.5875,-0.473979
8.59,-0.475855
8.5925,-0.477741
8.595,-0.479637
8.5975,-0.481544
8.6,-0.483462
8.6025,-0.48539
8.605,-0.487328
8.6075,-0.489278
8.61,-0.491238
8.6125,-0.493209
8.615,-0.495192
8.6175,-0.497185
8.62,-0.499189
8.6225,-0.501205
8.625,-0.503232
8.6275,-0.505271
8.63,-0.507321
8.6325,-0.509383
8.635,-0.511456
8.6375,-0.513541
8.64,-0.515638
8.6425,-0.517747
8.645,-0.519868
8.6475,-0.522001
8.65,-0.524146
8.6525,-0.526303
8.655,-0.528473
8.6575,-0.530655
8.66,-0.53285
8.6625,-0.535058
8.665,-0.537278
8.6675,-0.539511
8.67,-0.541757
8.6725,-0.544016
8.675,-0.546288
8.6775,-0.548574
8.68,-0.550873
8.6825,-0.553185
8.685,-0.555511
8.6875,-0.55785
8.69,-0.560203
8.6925,-0.56257
8.695,-0.564951
8.6975,-0.567346
8.7,-0.569755
8.7025,-0.572179
8.705,-0.574617
8.7075,-0.577069
8.71,-0.579536
8.7125,-0.582018
8.715,-0.584514
8.7175,-0.587025
8.72,-0.589552
8.7225,-0.592094
8.725,-0.594651
8.7275,-0.597223
8.73,-0.599811
8.7325,-0.602414
8.735,-0.605034
8.7375,-0.607669
8.74,-0.61032
8.7425,-0.612988
8.745,-0.615672
8.7475,-0.618372
8.75,-0.621088
8.7525,-0.623822
8.755,-0.626572
8.7575,-0.629339
8.76,-0.632123
8.7625,-0.634924
8.765,-0.637743
8.7675,-0.640579
8.77,-0.643433
8.7725,-0.646305
8.775,-0.649194
8.7775,-0.652102
8.78,-0.655027
8.7825,-0.657971
8.785,-0.660934
8.7875,-0.663915
8.79,-0.666915
8.7925,-0.669934
8.795,-0.672972
8.7975,-0.676029
8.8,-0.679106
8.8025,-0.682202
8.805,-0.685318
8.8075,-0.688454
8.81,-0.69161
8.8125,-0.694786
8.815,-0.697983
8.8175,-0.7012
8.82,-0.704438
8.8225,-0.707697
8.825,-0.710976
8.8275,-0.714278
8.83,-0.7176
8.8325,-0.720944
8.835,-0.72431
8.8375,-0.727698
8.84,-0.731108
8.8425,-0.73454
8.845,-0.737995
8.8475,-0.741473
8.85,-0.744973
8.8525,-0.748497
8.855,-0.752044
8.8575,-0.755614
8.86,-0.759209
8.8625,-0.762827
8.865,-0.766469
8.8675,-0.770135
8.87,-0.773826
8.8725,-0.777542
8.875,-0.781283
8.8775,-0.785049
8.88,-0.78884
8.8825,-0.792657
8.885,-0.796499
8.8875,-0.800368
8.89,-0.804263
8.8925,-0.808185
8.895,-0.812133
8.8975,-0.816108
8.9,-0.820111
8.9025,-0.824141
8.905,-0.828198
8.9075,-0.832284
8.91,-0.836397
8.9125,-0.84054
8.915,-0.84471
8.9175,-0.84891
8.92,-0.853139
8.9225,-0.857398
8.925,-0.861686
8.9275,-0.866004
8.93,-0.870352
8.9325,-0.874731
8.935,-0.879141
8.9375,-0.883582
8.94,-0.888054
8.9425,-0.892558
8.945,-0.897094
8.9475,-0.901662
8.95,-0.906262
8.9525,-0.910895
8.955,-0.915562
8.9575,-0.920262
8.96,-0.924995
8.9625,-0.929763
8.965,-0.934565
8.9675,-0.939402
8.97,-0.944273
8.9725,-0.94918
8.975,-0.954123
8.9775,-0.959101
8.98,-0.964116
8.9825,-0.969168
8.985,-0.974256
8.9875,-0.979382
8.99,-0.984546
8.9925,-0.989747
8.995,-0.994987
8.9975,-1.00027
9,-1.00558
9.0025,-1.01094
9.005,-1.01634
9.0075,-1.02178
9.01,-1.02725
9.0125,-1.03277
9.015,-1.03833
9.0175,-1.04394
9.02,-1.04958
9.0225,-1.05527
9.025,-1.061
9.0275,-1.06677
9.03,-1.07259
9.0325,-1.07845
9.035,-1.08436
9.0375,-1.09031
9.04,-1.09631
9.0425,-1.10235
9.045,-1.10844
9.0475,-1.11458
9.05,-1.12076
9.0525,-1.12699
9.055,-1.13327
9.0575,-1.1396
9.06,-1.14598
9.0625,-1.15241
9.065,-1.15889
9.0675,-1.16542
9.07,-1.172
9.0725,-1.17863
9.075,-1.18532
9.0775,-1.19206
9.08,-1.19885
9.0825,-1.20569
9.085,-1.21259
9.0875,-1.21955
9.09,-1.22656
9.0925,-1.23363
9.095,-1.24075
9.0975,-1.24793
9.1,-1.25517
9.1025,-1.26247
9.105,-1.26982
9.1075,-1.27724
9.11,-1.28471
9.1125,-1.29225
9.115,-1.29985
9.1175,-1.30751
9.12,-1.31524
9.1225,-1.32302
9.125,-1.33087
9.1275,-1.33879
9.13,-1.34677
9.1325,-1.35482
9.135,-1.36294
9.1375,-1.37112
9.14,-1.37937
9.1425,-1.38769
9.145,-1.39608
9.1475,-1.40454
9.15,-1.41307
9.1525,-1.42168
9.155,-1.43035
9.1575,-1.4391
9.16,-1.44793
9.1625,-1.45683
9.165,-1.4658
9.1675,-1.47486
9.17,-1.48399
9.1725,-1.4932
9.175,-1.50248
9.1775,-1.51185
9.18,-1.5213
9.1825,-1.53083
9.185,-1.54045
9.1875,-1.55015
9.19,-1.55993
9.1925,-1.5698
9.195,-1.57975
9.1975,-1.58979
9.2,-1.59993
9.2025,-1.61015
9.205,-1.62046
9.2075,-1.63086
9.21,-1.64135
9.2125,-1.65194
9.215,-1.66263
9.2175,-1.67341
9.22,-1.68428
9.2225,-1.69526
9.225,-1.70633
9.2275,-1.7175
9.23,-1.72877
9.2325,-1.74015
9.235,-1.75163
9.2375,-1.76322
9.24,-1.77491
9.2425,-1.7867
9.245,-1.79861
9.2475,-1.81063
9.25,-1.82275
9.2525,-1.83499
9.255,-1.84734
9.2575,-1.85981
9.26,-1.87239
9.2625,-1.88509
9.265,-1.89791
9.2675,-1.91085
9.27,-1.92392
9.2725,-1.9371
9.275,-1.95041
9.2775,-1.96385
9.28,-1.97741
9.2825,-1.9911
9.285,-2.00493
9.2875,-2.01888
9.29,-2.03297
9.2925,-2.0472
9.295,-2.06156
9.2975,-2.07606
9.3,-2.0907
9.3025,-2.10548
9.305,-2.12041
9.3075,-2.13548
9.31,-2.1507
9.3125,-2.16607
9.315,-2.18159
9.3175,-2.19726
9.32,-2.21308
9.3225,-2.22907
9.325,-2.24521
9.3275,-2.26151
9.33,-2.27798
9.3325,-2.29461
9.335,-2.3114
9.3375,-2.32837
9.34,-2.3455
9.3425,-2.36281
9.345,-2.38029
9.3475,-2.39795
9.35,-2.41579
9.3525,-2.43381
9.355,-2.45202
9.3575,-2.47041
9.36,-2.48899
9.3625,-2.50777
9.365,-2.52673
9.3675,-2.54589
9.37,-2.56525
9.3725,-2.58482
9.375,-2.60458
9.3775,-2.62456
9.38,-2.64474
9.3825,-2.66513
9.385,-2.68574
9.3875,-2.70656
9.39,-2.72761
9.3925,-2.74888
9.395,-2.77038
9.3975,-2.7921
9.4,-2.81406
9.4025,-2.83625
9.405,-2.85868
9.4075,-2.88135
9.41,-2.90427
9.4125,-2.92744
9.415,-2.95086
9.4175,-2.97453
9.42,-2.99846
9.4225,-3.02265
9.425,-3.04711
9.4275,-3.07184
9.43,-3.09684
9.4325,-3.12211
9.435,-3.14767
9.4375,-3.17351
9.44,-3.19964
9.4425,-3.22606
9.445,-3.25278
9.4475,-3.2798
9.45,-3.30712
9.4525,-3.33475
9.455,-3.3627
9.4575,-3.39096
9.46,-3.41955
9.4625,-3.44846
9.465,-3.4777
9.4675,-3.50728
9.47,-3.5372
9.4725,-3.56746
9.475,-3.59808
9.4775,-3.62905
9.48,-3.66039
9.4825,-3.69209
9.485,-3.72416
9.4875,-3.75661
9.49,-3.78944
9.4925,-3.82266
9.495,-3.85627
9.4975,-3.89028
9.5,-3.9247
9.5025,-3.95953
9.505,-3.99478
9.5075,-4.03046
9.51,-4.06656
9.5125,-4.1031
9.515,-4.14009
9.5175,-4.17753
9.52,-4.21542
9.5225,-4.25378
9.525,-4.29261
9.5275,-4.33193
9.53,-4.37172
9.5325,-4.41202
9.535,-4.45281
9.5375,-4.49412
9.54,-4.53594
9.5425,-4.57829
9.545,-4.62118
9.5475,-4.6646
9.55,-4.70858
9.5525,-4.75313
9.555,-4.79824
9.5575,-4.84393
9.56,-4.89021
9.5625,-4.9371
9.565,-4.98459
9.5675,-5.0327
9.57,-5.08143
9.5725,-5.13081
9.575,-5.18084
9.5775,-5.23154
9.58,-5.2829
9.5825,-5.33495
9.585,-5.3877
9.5875,-5.44116
9.59,-5.49534
9.5925,-5.55025
9.595,-5.60591
9.5975,-5.66234
9.6,-5.71953
9.6025,-5.77752
9.605,-5.83631
9.6075,-5.89591
9.61,-5.95635
9.6125,-6.01764
9.615,-6.07979
9.6175,-6.14282
9.62,-6.20675
9.6225,-6.27159
9.625,-6.33736
9.6275,-6.40409
9.63,-6.47178
9.6325,-6.54046
9.635,-6.61015
9.6375,-6.68086
9.64,-6.75262
9.6425,-6.82546
9.645,-6.89938
9.6475,-6.97442
9.65,-7.0506
9.6525,-7.12794
9.655,-7.20646
9.6575,-7.2862
9.66,-7.36718
9.6625,-7.44942
9.665,-7.53296
9.6675,-7.61782
9.67,-7.70403
9.6725,-7.79163
9.675,-7.88064
9.6775,-7.9711
9.68,-8.06305
9.6825,-8.15652
9.685,-8.25154
9.6875,-8.34816
9.69,-8.44641
9.6925,-8.54634
9.695,-8.64798
9.6975,-8.75139
9.7,-8.85661
9.7025,-8.96368
9.705,-9.07267
9.7075,-9.18361
9.71,-9.29657
9.7125,-9.41159
9.715,-9.52875
9.7175,-9.6481
9.72,-9.7697
9.7225,-9.89363
9.725,-10.0199
9.7275,-10.1487
9.73,-10.2801
9.7325,-10.414
9.735,-10.5507
9.7375,-10.6902
9.74,-10.8326
9.7425,-10.9779
9.745,-11.1264
9.7475,-11.2781
9.75,-11.4331
9.7525,-11.5916
9.755,-11.7537
9.7575,-11.9194
9.76,-12.0891
9.7625,-12.2628
9.765,-12.4407
9.7675,-12.6229
9.77,-12.8097
9.7725,-13.0013
9.775,-13.1979
9.7775,-13.3997
9.78,-13.6069
9.7825,-13.8199
9.785,-14.0389
9.7875,-14.2643
9.79,-14.4963
9.7925,-14.7354
9.795,-14.9819
9.7975,-15.2363
9.8,-15.4991
9.8025,-15.7708
9.805,-16.0519
9.8075,-16.3431
9.81,-16.645
9.8125,-16.9586
9.815,-17.2846
9.8175,-17.624
9.82,-17.9778
9.8225,-18.3475
9.825,-18.7342
9.8275,-19.1396
9.83,-19.5656
9.8325,-20.0142
9.835,-20.488
9.8375,-20.9898
9.84,-21.5231
9.8425,-22.0919
9.845,-22.7013
9.8475,-23.3573
9.85,-24.0677
9.8525,-24.842
9.855,-25.6929
9.8575,-26.6368
9.86,-27.6967
9.8625,-28.9047
9.865,-30.3088
9.8675,-31.9852
9.87,-34.0648
9.8725,-36.805
9.875,-40.8311
9.8775,-48.5675
9.88,-55.7651
9.8825,-43.1169
9.885,-38.1739
9.8875,-35.0442
9.89,-32.7492
9.8925,-30.9366
9.895,-29.4386
9.8975,-28.1621
9.9,-27.0503
9.9025,-26.0657
9.905,-25.1822
9.9075,-24.3811
9.91,-23.6485
9.9125,-22.9737
9.915,-22.3484
9.9175,-21.7659
9.92,-21.2208
9.9225,-20.7087
9.925,-20.2259
9.9275,-19.7692
9.93,-19.3362
9.9325,-18.9245
9.935,-18.5321
9.9375,-18.1575
9.94,-17.7992
9.9425,-17.4558
9.945,-17.1261
9.9475,-16.8093
9.95,-16.5044
9.9525,-16.2106
9.955,-15.9271
9.9575,-15.6532
9.96,-15.3885
9.9625,-15.1324
9.965,-14.8842
9.9675,-14.6437
9.97,-14.4104
9.9725,-14.1839
9.975,-13.9639
9.9775,-13.75
9.98,-13.5419
9.9825,-13.3394
9.985,-13.1422
9.9875,-12.95
9.99,-12.7627
9.9925,-12.58
9.995,-12.4018
9.9975,-12.2278
10,-12.0579
10.0025,-11.8919
10.005,-11.7297
10.0075,-11.5712
10.01,-11.4161
10.0125,-11.2644
10.015,-11.1159
10.0175,-10.9705
10.02,-10.8282
10.0225,-10.6888
10.025,-10.5523
10.0275,-10.4185
10.03,-10.2873
10.0325,-10.1587
10.035,-10.0325
10.0375,-9.90883
10.04,-9.78746
10.0425,-9.66836
10.045,-9.55146
10.0475,-9.4367
10.05,-9.32402
10.0525,-9.21337
10.055,-9.10468
10.0575,-8.99791
10.06,-8.893
10.0625,-8.78991
10.065,-8.68859
10.0675,-8.58899
10.07,-8.49107
10.0725,-8.39479
10.075,-8.3001
10.0775,-8.20698
10.08,-8.11537
10.0825,-8.02525
10.085,-7.93658
10.0875,-7.84933
10.09,-7.76346
10.0925,-7.67895
10.095,-7.59576
10.0975,-7.51386
10.1,-7.43322
10.1025,-7.35382
10.105,-7.27564
10.1075,-7.19863
10.11,-7.12279
10.1125,-7.04808
10.115,-6.97448
10.1175,-6.90197
10.12,-6.83053
10.1225,-6.76013
10.125,-6.69076
10.1275,-6.62238
10.13,-6.555
10.1325,-6.48857
10.135,-6.42309
10.1375,-6.35854
10.14,-6.2949
10.1425,-6.23215
10.145,-6.17028
10.1475,-6.10927
10.15,-6.0491
10.1525,-5.98975
10.155,-5.93122
10.1575,-5.87349
10.16,-5.81654
10.1625,-5.76036
10.165,-5.70493
10.1675,-5.65025
10.17,-5.59629
10.1725,-5.54306
10.175,-5.49052
10.1775,-5.43868
10.18,-5.38752
10.1825,-5.33702
10.185,-5.28718
10.1875,-5.23799
10.19,-5.18943
10.1925,-5.14149
10.195,-5.09417
10.1975,-5.04746
10.2,-5.00133
10.2025,-4.95579
10.205,-4.91083
10.2075,-4.86642
10.21,-4.82258
10.2125,-4.77928
10.215,-4.73652
10.2175,-4.69429
10.22,-4.65258
10.2225,-4.61138
10.225,-4.57069
10.2275,-4.5305
10.23,-4.49079
10.2325,-4.45157
10.235,-4.41282
10.2375,-4.37454
10.24,-4.33671
10.2425,-4.29934
10.245,-4.26242
10.2475,-4.22593
10.25,-4.18988
10.2525,-4.15425
10.255,-4.11904
10.2575,-4.08425
10.26,-4.04986
10.2625,-4.01588
10.265,-3.98229
10.2675,-3.94909
10.27,-3.91627
10.2725,-3.88383
10.275,-3.85176
10.2775,-3.82006
10.28,-3.78872
10.2825,-3.75774
10.285,-3.72711
10.2875,-3.69683
10.29,-3.66689
10.2925,-3.63729
10.295,-3.60802
10.2975,-3.57907
10.3,-3.55045
10.3025,-3.52214
10.305,-3.49415
10.3075,-3.46647
10.31,-3.4391
10.3125,-3.41202
10.315,-3.38525
10.3175,-3.35876
10.32,-3.33256
10.3225,-3.30665
10.325,-3.28102
10.3275,-3.25567
10.33,-3.23058
10.3325,-3.20577
10.335,-3.18123
10.3375,-3.15694
10.34,-3.13292
10.3425,-3.10915
10.345,-3.08563
10.3475,-3.06236
10.35,-3.03934
10.3525,-3.01656
10.355,-2.99401
10.3575,-2.97171
10.36,-2.94963
10.3625,-2.92779
10.365,-2.90617
10.3675,-2.88477
10.37,-2.8636
10.3725,-2.84264
10.375,-2.8219
10.3775,-2.80137
10.38,-2.78105
10.3825,-2.76094
10.385,-2.74103
10.3875,-2.72132
10.39,-2.70181
10.3925,-2.6825
10.395,-2.66339
10.3975,-2.64446
10.4,-2.62572
10.4025,-2.60717
10.405,-2.58881
10.4075,-2.57062
10.41,-2.55262
10.4125,-2.53479
10.415,-2.51714
10.4175,-2.49967
10.42,-2.48236
10.4225,-2.46522
10.425,-2.44825
10.4275,-2.43145
10.43,-2.4148
10.4325,-2.39832
10.435,-2.382
10.4375,-2.36583
10.44,-2.34982
10.4425,-2.33396
10.445,-2.31826
10.4475,-2.3027
10.45,-2.28729
10.4525,-2.27203
10.455,-2.25691
10.4575,-2.24193
10.46,-2.2271
10.4625,-2.2124
10.465,-2.19784
10.4675,-2.18342
10.47,-2.16913
10.4725,-2.15497
10.475,-2.14095
10.4775,-2.12705
10.48,-2.11328
10.4825,-2.09964
10.485,-2.08613
10.4875,-2.07274
10.49,-2.05947
10.4925,-2.04632
10.495,-2.03329
10.4975,-2.02038
10.5,-2.00758
10.5025,-1.9949
10.505,-1.98234
10.5075,-1.96988
10.51,-1.95754
10.5125,-1.94531
10.515,-1.93319
10.5175,-1.92118
10.52,-1.90927
10.5225,-1.89747
10.525,-1.88577
10.5275,-1.87417
10.53,-1.86268
10.5325,-1.85129
10.535,-1.83999
10.5375,-1.8288
10.54,-1.8177
10.5425,-1.8067
10.545,-1.79579
10.5475,-1.78498
10.55,-1.77426
10.5525,-1.76364
10.555,-1.7531
10.5575,-1.74266
10.56,-1.7323
10.5625,-1.72203
10.565,-1.71185
10.5675,-1.70176
10.57,-1.69175
10.5725,-1.68182
10.575,-1.67198
10.5775,-1.66222
10.58,-1.65255
10.5825,-1.64295
10.585,-1.63344
10.5875,-1.624
10.59,-1.61464
10.5925,-1.60536
10.595,-1.59616
10.5975,-1.58703
10.6,-1.57797
10.6025,-1.56899
10.605,-1.56009
10.6075,-1.55126
10.61,-1.5425
10.6125,-1.53381
10.615,-1.52519
10.6175,-1.51664
10.62,-1.50816
10.6225,-1.49975
10.625,-1.4914
10.6275,-1.48312
10.63,-1.47491
10.6325,-1.46677
10.635,-1.45869
10.6375,-1.45067
10.64,-1.44272
10.6425,-1.43483
10.645,-1.427
10.6475,-1.41923
10.65,-1.41153
10.6525,-1.40388
10.655,-1.3963
10.6575,-1.38877
10.66,-1.3813
10.6625,-1.3739
10.665,-1.36654
10.6675,-1.35925
10.67,-1.35201
10.6725,-1.34483
10.675,-1.3377
10.6775,-1.33063
10.68,-1.32361
10.6825,-1.31664
10.685,-1.30973
10.6875,-1.30287
10.69,-1.29606
10.6925,-1.28931
10.695,-1.2826
10.6975,-1.27595
10.7,-1.26935
10.7025,-1.26279
10.705,-1.25628
10.7075,-1.24983
10.71,-1.24342
10.7125,-1.23706
10.715,-1.23074
10.7175,-1.22448
10.72,-1.21825
10.7225,-1.21208
10.725,-1.20595
10.7275,-1.19987
10.73,-1.19382
10.7325,-1.18783
10.735,-1.18188
10.7375,-1.17597
10.74,-1.1701
10.7425,-1.16428
10.745,-1.1585
10.7475,-1.15276
10.75,-1.14706
10.7525,-1.1414
10.755,-1.13579
10.7575,-1.13021
10.76,-1.12467
10.7625,-1.11917
10.765,-1.11372
10.7675,-1.1083
10.77,-1.10292
10.7725,-1.09757
10.775,-1.09227
10.7775,-1.087
10.78,-1.08177
10.7825,-1.07658
10.785,-1.07142
10.7875,-1.0663
10.79,-1.06121
10.7925,-1.05616
10.795,-1.05114
10.7975,-1.04616
10.8,-1.04121
10.8025,-1.0363
10.805,-1.03142
10.8075,-1.02658
10.81,-1.02177
10.8125,-1.01699
10.815,-1.01224
10.8175,-1.00753
10.82,-1.00284
10.8225,-0.998193
10.825,-0.993574
10.8275,-0.988987
10.83,-0.98443
10.8325,-0.979904
10.835,-0.975408
10.8375,-0.970942
10.84,-0.966506
10.8425,-0.9621
10.845,-0.957723
10.8475,-0.953376
10.85,-0.949057
10.8525,-0.944766
10.855,-0.940504
10.8575,-0.93627
10.86,-0.932064
10.8625,-0.927886
10.865,-0.923735
10.8675,-0.919611
10.87,-0.915514
10.8725,-0.911444
10.875,-0.9074
10.8775,-0.903383
10.88,-0.899391
10.8825,-0.895426
10.885,-0.891486
10.8875,-0.887571
10.89,-0.883682
10.8925,-0.879817
10.895,-0.875977
10.8975,-0.872162
10.9,-0.868371
10.9025,-0.864604
10.905,-0.860861
10.9075,-0.857142
10.91,-0.853446
10.9125,-0.849774
10.915,-0.846125
10.9175,-0.842498
10.92,-0.838895
10.9225,-0.835314
10.925,-0.831756
10.9275,-0.828219
10.93,-0.824705
10.9325,-0.821213
10.935,-0.817742
10.9375,-0.814293
10.94,-0.810865
10.9425,-0.807458
10.945,-0.804073
10.9475,-0.800708
10.95,-0.797364
10.9525,-0.79404
10.955,-0.790737
10.9575,-0.787453
10.96,-0.78419
10.9625,-0.780947
10.965,-0.777723
10.9675,-0.774519
10.97,-0.771334
10.9725,-0.768168
10.975,-0.765022
10.9775,-0.761894
10.98,-0.758785
10.9825,-0.755695
10.985,-0.752623
10.9875,-0.74957
10.99,-0.746534
10.9925,-0.743517
10.995,-0.740518
10.9975,-0.737536
11,-0.734572
11.0025,-0.731626
11.005,-0.728697
11.0075,-0.725785
11.01,-0.72289
11.0125,-0.720012
11.015,-0.717151
11.0175,-0.714307
11.02,-0.711479
11.0225,-0.708668
11.025,-0.705873
11.0275,-0.703094
11.03,-0.700332
11.0325,-0.697585
11.035,-0.694854
11.0375,-0.692139
11.04,-0.689439
11.0425,-0.686755
11.045,-0.684086
11.0475,-0.681433
11.05,-0.678795
11.0525,-0.676171
11.055,-0.673563
11.0575,-0.670969
11.06,-0.66839
11.0625,-0.665826
11.065,-0.663276
11.0675,-0.66074
11.07,-0.658219
11.0725,-0.655712
11.075,-0.653219
11.0775,-0.650739
11.08,-0.648274
11.0825,-0.645822
11.085,-0.643384
11.0875,-0.64096
11.09,-0.638549
11.0925,-0.636151
11.095,-0.633767
11.0975,-0.631395
11.1,-0.629037
11.1025,-0.626692
11.105,-0.62436
11.1075,-0.62204
11.11,-0.619733
11.1125,-0.617439
11.115,-0.615157
11.1175,-0.612887
11.12,-0.61063
11.1225,-0.608385
11.125,-0.606152
11.1275,-0.603932
11.13,-0.601723
11.1325,-0.599526
11.135,-0.597341
11.1375,-0.595168
11.14,-0.593006
11.1425,-0.590856
11.145,-0.588717
11.1475,-0.58659
11.15,-0.584474
11.1525,-0.582369
11.155,-0.580275
11.1575,-0.578193
11.16,-0.576121
11.1625,-0.574061
11.165,-0.572011
11.1675,-0.569972
11.17,-0.567944
11.1725,-0.565926
11.175,-0.563919
11.1775,-0.561923
11.18,-0.559936
11.1825,-0.557961
11.185,-0.555995
11.1875,-0.55404
11.19,-0.552094
11.1925,-0.550159
11.195,-0.548234
11.1975,-0.546318
11.2,-0.544413
11.2025,-0.542517
11.205,-0.540631
11.2075,-0.538755
11.21,-0.536888
11.2125,-0.535031
11.215,-0.533183
11.2175,-0.531345
11.22,-0.529516
11.2225,-0.527696
11.225,-0.525886
11.2275,-0.524084
11.23,-0.522292
11.2325,-0.520509
11.235,-0.518734
11.2375,-0.516969
11.24,-0.515212
11.2425,-0.513464
11.245,-0.511725
11.2475,-0.509995
11.25,-0.508273
11.2525,-0.50656
11.255,-0.504855
11.2575,-0.503159
11.26,-0.501471
11.2625,-0.499791
11.265,-0.49812
11.2675,-0.496457
11.27,-0.494802
11.2725,-0.493156
11.275,-0.491517
11.2775,-0.489886
11.28,-0.488264
11.2825,-0.486649
11.285,-0.485042
11.2875,-0.483443
11.29,-0.481851
11.2925,-0.480268
11.295,-0.478692
11.2975,-0.477123
11.3,-0.475563
11.3025,-0.474009
11.305,-0.472463
11.3075,-0.470925
11.31,-0.469394
11.3125,-0.46787
11.315,-0.466354
11.3175,-0.464845
11.32,-0.463343
11.3225,-0.461848
11.325,-0.46036
11.3275,-0.45888
11.33,-0.457406
11.3325,-0.455939
11.335,-0.454479
11.3375,-0.453026
11.34,-0.45158
11.3425,-0.450141
11.345,-0.448708
11.3475,-0.447283
11.35,-0.445863
11.3525,-0.444451
11.355,-0.443045
11.3575,-0.441646
11.36,-0.440253
11.3625,-0.438866
11.365,-0.437486
11.3675,-0.436113
11.37,-0.434745
11.3725,-0.433384
11.375,-0.43203
11.3775,-0.430681
11.38,-0.429339
11.3825,-0.428003
11.385,-0.426673
11.3875,-0.425349
11.39,-0.424031
11.3925,-0.422719
11.395,-0.421413
11.3975,-0.420113
11.4,-0.418819
11.4025,-0.417531
11.405,-0.416248
11.4075,-0.414972
11.41,-0.413701
11.4125,-0.412436
11.415,-0.411176
11.4175,-0.409923
11.42,-0.408674
11.4225,-0.407432
11.425,-0.406195
11.4275,-0.404963
11.43,-0.403737
11.4325,-0.402517
11.435,-0.401302
11.4375,-0.400092
11.44,-0.398888
11.4425,-0.397689
11.445,-0.396495
11.4475,-0.395306
11.45,-0.394123
11.4525,-0.392945
11.455,-0.391772
11.4575,-0.390605
11.46,-0.389442
11.4625,-0.388285
11.465,-0.387132
11.4675,-0.385985
11.47,-0.384842
11.4725,-0.383705
11.475,-0.382572
11.4775,-0.381445
11.48,-0.380322
11.4825,-0.379204
11.485,-0.378091
11.4875,-0.376983
11.49,-0.375879
11.4925,-0.374781
11.495,-0.373687
11.4975,-0.372597
11.5,-0.371513
11.5025,-0.370433
11.505,-0.369357
11.5075,-0.368286
11.51,-0.36722
11.5125,-0.366158
11.515,-0.365101
11.5175,-0.364049
11.52,-0.363
11.5225,-0.361956
11.525,-0.360917
11.5275,-0.359882
11.53,-0.358851
11.5325,-0.357825
11.535,-0.356803
11.5375,-0.355785
11.54,-0.354771
11.5425,-0.353762
11.545,-0.352757
11.5475,-0.351756
11.55,-0.35076
11.5525,-0.349767
11.555,-0.348779
11.5575,-0.347794
11.56,-0.346814
11.5625,-0.345838
11.565,-0.344865
11.5675,-0.343897
11.57,-0.342933
11.5725,-0.341973
11.575,-0.341017
11.5775,-0.340064
11.58,-0.339116
11.5825,-0.338171
11.585,-0.33723
11.5875,-0.336294
11.59,-0.33536
11.5925,-0.334431
11.595,-0.333506
11.5975,-0.332584
11.6,-0.331666
11.6025,-0.330752
11.605,-0.329841
11.6075,-0.328934
11.61,-0.328031
11.6125,-0.327131
11.615,-0.326235
11.6175,-0.325343
11.62,-0.324454
11.6225,-0.323569
11.625,-0.322687
11.6275,-0.321808
11.63,-0.320934
11.6325,-0.320062
11.635,-0.319195
11.6375,-0.31833
11.64,-0.317469
11.6425,-0.316612
11.645,-0.315758
11.6475,-0.314907
11.65,-0.31406
11.6525,-0.313216
11.655,-0.312375
11.6575,-0.311537
11.66,-0.310703
11.6625,-0.309872
11.665,-0.309045
11.6675,-0.30822
11.67,-0.307399
11.6725,-0.306581
11.675,-0.305766
11.6775,-0.304955
11.68,-0.304146
11.6825,-0.303341
11.685,-0.302539
11.6875,-0.30174
11.69,-0.300944
11.6925,-0.300151
11.695,-0.299361
11.6975,-0.298574
11.7,-0.29779
11.7025,-0.297009
11.705,-0.296231
11.7075,-0.295456
11.71,-0.294684
11.7125,-0.293916
11.715,-0.293149
11.7175,-0.292386
11.72,-0.291626
11.7225,-0.290869
11.725,-0.290114
11.7275,-0.289363
11.73,-0.288614
11.7325,-0.287868
11.735,-0.287125
11.7375,-0.286385
11.74,-0.285647
11.7425,-0.284912
11.745,-0.28418
11.7475,-0.283451
11.75,-0.282725
11.7525,-0.282001
11.755,-0.28128
11.7575,-0.280561
11.76,-0.279846
11.7625,-0.279133
11.765,-0.278422
11.7675,-0.277715
11.77,-0.277009
11.7725,-0.276307
11.775,-0.275607
11.7775,-0.27491
11.78,-0.274215
11.7825,-0.273523
11.785,-0.272833
11.7875,-0.272146
11.79,-0.271461
11.7925,-0.270779
11.795,-0.2701
11.7975,-0.269422
11.8,-0.268748
11.8025,-0.268076
11.805,-0.267406
11.8075,-0.266739
11.81,-0.266074
11.8125,-0.265411
11.815,-0.264751
11.8175,-0.264094
